1,2,39.2 
1,3,37 
2 ,4,30.14 
3,4,38 
4,5,132 
5,6,52.8 
6,7,51.9 
7,8,43.2
7,16,166.7
8,9,67.9 
9,10,43.1 
10,11,33.9 
10,12,19.31
11,13,28 
12,13,33.1 
13,14,31.9 
14,15,27.5 
15,16,36.1 
16,17,36.1 
17,18,41.6 
18,19,18.4 
19,20,18.4 
20,21,30.9 
21,22,44
22,23,30.5 
23,24,44 
24,25,67 
25,26,23 
26,29,18 
29,27,24.5
29,30,82 
27,28,32
30,31,115.9 
31,32,41  
32,33,33 
33,34,46 
34,35,87 
35,36,38.9 
36,37,76.3 
37,38,55 
38,39,48 
39,40,52 
40,41,52 
41,42,54  
42,43,78 
43,44,32.5 
44,45,23.8 
44,46,21.4 
45,48,25.2 
48,47,18.8 
46,47,26.1
